Time,Year-Month,UV_Index
2007.17,2007-Mar,7.66
2007.25,2007-Apr,6.18
2007.33,2007-May,3.78
2007.42,2007-Jun,2.04
2007.5,2007-Jul,2.51
2007.58,2007-Aug,4.54
2007.67,2007-Sep,6.18
2007.75,2007-Oct,8.7
2007.83,2007-Nov,11.4
2007.92,2007-Dec,13.26
2008.0,2008-Jan,13.5
2008.08,2008-Feb,12.33
2008.17,2008-Mar,10.04
2008.25,2008-Apr,7.14
2008.33,2008-May,3.83
2008.42,2008-Jun,2.15
2008.5,2008-Jul,3.02
2008.58,2008-Aug,4.16
2008.67,2008-Sep,7.65
2008.75,2008-Oct,11.09
2008.83,2008-Nov,11.45
2008.92,2008-Dec,13.44
2009.0,2009-Jan,14.58
2009.08,2009-Feb,12.88
2009.17,2009-Mar,12.67
2009.25,2009-Apr,8.14
2009.33,2009-May,3.52
2009.42,2009-Jun,2.18
2009.5,2009-Jul,2.61
2009.58,2009-Aug,4.78
2009.67,2009-Sep,7.3
2009.75,2009-Oct,9.4
2009.83,2009-Nov,11.52
2009.92,2009-Dec,14.0
2010.0,2010-Jan,13.22
2010.08,2010-Feb,11.99
2010.17,2010-Mar,9.94
2010.25,2010-Apr,6.17
2010.33,2010-May,3.49
2010.42,2010-Jun,1.89
2010.5,2010-Jul,2.49
2010.58,2010-Aug,4.48
2010.67,2010-Sep,6.32
2010.75,2010-Oct,9.01
2010.83,2010-Nov,11.38
2010.92,2010-Dec,12.95
2011.0,2011-Jan,13.13
2011.08,2011-Feb,12.24
2011.17,2011-Mar,9.48
2011.25,2011-Apr,6.83
2011.33,2011-May,3.84
2011.42,2011-Jun,2.1
2011.5,2011-Jul,2.28
2011.58,2011-Aug,4.19
2011.67,2011-Sep,6.04
2011.75,2011-Oct,9.01
2011.83,2011-Nov,12.48
2011.92,2011-Dec,12.12
2012.0,2012-Jan,13.96
2012.08,2012-Feb,13.93
2012.17,2012-Mar,10.25
2012.25,2012-Apr,6.52
2012.33,2012-May,3.27
2012.42,2012-Jun,2.12
2012.5,2012-Jul,2.33
2012.58,2012-Aug,4.48
2012.67,2012-Sep,6.41
2012.75,2012-Oct,8.19
2012.83,2012-Nov,11.83
2012.92,2012-Dec,13.44
2013.0,2013-Jan,13.45
2013.08,2013-Feb,12.11
2013.17,2013-Mar,9.59
2013.25,2013-Apr,7.14
2013.33,2013-May,3.39
2013.42,2013-Jun,2.45
2013.5,2013-Jul,2.76
2013.58,2013-Aug,4.73
2013.67,2013-Sep,6.72
2013.75,2013-Oct,10.73
2013.83,2013-Nov,11.54
2013.92,2013-Dec,13.68
2014.0,2014-Jan,14.86
2014.08,2014-Feb,11.95
2014.17,2014-Mar,9.86
2014.25,2014-Apr,6.83
2014.33,2014-May,3.71
2014.42,2014-Jun,2.09
2014.5,2014-Jul,2.94
2014.58,2014-Aug,3.89
2014.67,2014-Sep,6.69
2014.75,2014-Oct,8.87
2014.83,2014-Nov,11.02
2014.92,2014-Dec,12.2
2015.0,2015-Jan,13.69
2015.08,2015-Feb,11.64
2015.17,2015-Mar,10.5
2015.25,2015-Apr,7.36
2015.33,2015-May,3.88
2015.42,2015-Jun,2.4
2015.5,2015-Jul,2.5
2015.58,2015-Aug,4.67
2015.67,2015-Sep,7.85
2015.75,2015-Oct,8.64
2015.83,2015-Nov,11.23
2015.92,2015-Dec,13.11
2016.0,2016-Jan,13.56
2016.08,2016-Feb,12.29
2016.17,2016-Mar,10.19
2016.25,2016-Apr,6.45
2016.33,2016-May,3.85
2016.42,2016-Jun,2.7
2016.5,2016-Jul,3.01
2016.58,2016-Aug,5.05
2016.67,2016-Sep,6.46
2016.75,2016-Oct,9.04
2016.83,2016-Nov,11.49
2016.92,2016-Dec,14.97
2017.0,2017-Jan,13.6
2017.08,2017-Feb,12.3
2017.17,2017-Mar,9.7
2017.25,2017-Apr,7.11
2017.33,2017-May,4.33
2017.42,2017-Jun,2.12
2017.5,2017-Jul,2.42
2017.58,2017-Aug,3.87
2017.67,2017-Sep,6.65
2017.75,2017-Oct,9.27
2017.83,2017-Nov,10.42
2017.92,2017-Dec,12.74
2018.0,2018-Jan,13.05
2018.08,2018-Feb,11.02
2018.17,2018-Mar,9.69
2018.25,2018-Apr,6.66
2018.33,2018-May,3.28
2018.42,2018-Jun,1.91
2018.5,2018-Jul,2.25
2018.58,2018-Aug,3.3
2018.67,2018-Sep,6.05
2018.75,2018-Oct,8.16
2018.83,2018-Nov,10.72
2018.92,2018-Dec,13.12
2019.0,2019-Jan,12.18
2019.08,2019-Feb,10.75
2019.17,2019-Mar,8.96
2019.25,2019-Apr,5.98
2019.33,2019-May,3.45
2019.42,2019-Jun,2.2
2019.5,2019-Jul,2.39
2019.58,2019-Aug,3.88
2019.67,2019-Sep,5.8
2019.75,2019-Oct,8.31
2019.83,2019-Nov,11.89
2019.92,2019-Dec,13.62
2020.0,2020-Jan,14.48
2020.08,2020-Feb,13.06
2020.17,2020-Mar,10.22
2020.25,2020-Apr,7.16
2020.33,2020-May,3.84
2020.42,2020-Jun,2.36
2020.5,2020-Jul,2.8
2020.58,2020-Aug,4.63
2020.67,2020-Sep,7.23
2020.75,2020-Oct,8.84
2020.83,2020-Nov,12.68
2020.92,2020-Dec,13.31
2021.0,2021-Jan,12.8
2021.08,2021-Feb,13.07
2021.17,2021-Mar,9.71
2021.25,2021-Apr,6.26
2021.33,2021-May,3.65
2021.42,2021-Jun,2.28
2021.5,2021-Jul,2.71
2021.58,2021-Aug,4.2
2021.67,2021-Sep,6.15
2021.75,2021-Oct,9.12
2021.83,2021-Nov,11.78
2021.92,2021-Dec,12.49
2022.0,2022-Jan,12.66
2022.08,2022-Feb,11.69
2022.17,2022-Mar,9.7
2022.25,2022-Apr,6.23
2022.33,2022-May,3.83
2022.42,2022-Jun,2.22
2022.5,2022-Jul,2.46
2022.58,2022-Aug,4.12
2022.67,2022-Sep,6.84
2022.75,2022-Oct,8.96
2022.83,2022-Nov,11.66
2022.92,2022-Dec,11.78
